arquivo,classe_binaria,codec,ataque
LA_E_1000048,1,opus,A08
LA_E_1000166,1,opus,A12
LA_E_1000174,1,g722,A08
LA_E_1000345,1,opus,A19
LA_E_1000624,1,ulaw,A13
LA_E_1000636,1,g722,A11
LA_E_1000795,1,ulaw,A11
LA_E_1000854,1,g722,A15
LA_E_1000931,1,opus,A18
LA_E_1000993,1,alaw,A15
LA_E_1001118,0,alaw,bonafide
LA_E_1001135,1,ulaw,A13
LA_E_1001250,1,alaw,A17
LA_E_1001407,1,gsm,A12
LA_E_1001660,1,gsm,A17
LA_E_1001804,1,g722,A10
LA_E_1001842,1,ulaw,A19
LA_E_1001928,1,gsm,A10
LA_E_1002159,1,alaw,A14
LA_E_1002161,1,ulaw,A18
LA_E_1002323,1,ulaw,A18
LA_E_1002427,1,alaw,A10
LA_E_1002743,1,ulaw,A15
LA_E_1002895,1,ulaw,A16
LA_E_1003103,1,pstn,A11
LA_E_1003528,1,pstn,A13
LA_E_1003624,1,pstn,A15
LA_E_1003634,1,opus,A07
LA_E_1003658,1,g722,A10
LA_E_1003702,0,opus,bonafide
LA_E_1003722,1,g722,A17
LA_E_1003731,1,ulaw,A11
LA_E_1003757,1,pstn,A13
LA_E_1003795,1,none,A14
LA_E_1003840,1,alaw,A14
LA_E_1003961,1,opus,A09
LA_E_1004043,1,opus,A13
LA_E_1004209,1,ulaw,A12
LA_E_1004329,1,none,A16
LA_E_1004510,0,opus,bonafide
LA_E_1004588,1,opus,A13
LA_E_1004689,1,alaw,A18
LA_E_1004844,1,gsm,A07
LA_E_1004952,1,alaw,A12
LA_E_1005007,1,g722,A16
LA_E_1005176,1,pstn,A16
LA_E_1005523,1,ulaw,A16
LA_E_1005777,1,ulaw,A19
LA_E_1005780,1,g722,A07
LA_E_1005805,1,gsm,A18
LA_E_1005828,1,gsm,A16
LA_E_1005966,1,ulaw,A08
LA_E_1005993,1,g722,A07
LA_E_1006073,1,ulaw,A07
LA_E_1006344,1,ulaw,A17
LA_E_1006404,1,none,A12
LA_E_1006487,1,gsm,A19
LA_E_1006494,1,none,A14
LA_E_1006521,1,ulaw,A09
LA_E_1006559,1,alaw,A17
LA_E_1006663,1,alaw,A13
LA_E_1006688,1,opus,A16
LA_E_1006777,1,opus,A18
LA_E_1006816,1,alaw,A10
LA_E_1007006,1,g722,A14
LA_E_1007081,1,alaw,A11
LA_E_1007090,1,ulaw,A09
LA_E_1007270,1,pstn,A08
LA_E_1007383,1,opus,A14
LA_E_1007537,1,none,A09
LA_E_1007588,1,alaw,A11
LA_E_1007650,1,alaw,A18
LA_E_1007726,1,ulaw,A15
LA_E_1007790,1,g722,A18
LA_E_1007828,1,gsm,A14
LA_E_1007928,1,g722,A09
LA_E_1007943,1,alaw,A08
LA_E_1008159,1,gsm,A08
LA_E_1008202,1,g722,A08
LA_E_1008285,1,opus,A07
LA_E_1008300,1,alaw,A09
LA_E_1008419,1,none,A13
LA_E_1008432,1,opus,A19
LA_E_1008642,1,pstn,A09
LA_E_1008780,1,ulaw,A18
LA_E_1009173,1,opus,A17
LA_E_1009424,1,opus,A14
LA_E_1009431,1,opus,A16
LA_E_1009470,1,opus,A10
LA_E_1009630,1,ulaw,A12
LA_E_1009785,1,opus,A10
LA_E_1009935,1,g722,A16
LA_E_1010072,1,ulaw,A14
LA_E_1010450,1,none,A15
LA_E_1010473,1,none,A11
LA_E_1010485,1,alaw,A07
LA_E_1010513,1,opus,A17
LA_E_1010878,1,gsm,A13
LA_E_1010987,1,gsm,A08
LA_E_1011071,1,alaw,A19
LA_E_1011085,1,pstn,A09
LA_E_1011113,1,ulaw,A14
LA_E_1011126,1,gsm,A07
LA_E_1011196,1,none,A09
LA_E_1011202,1,opus,A09
LA_E_1012463,1,g722,A09
LA_E_1012668,1,pstn,A08
LA_E_1012689,1,none,A19
LA_E_1012803,1,g722,A14
LA_E_1012995,1,gsm,A09
LA_E_1013114,1,none,A15
LA_E_1013415,1,alaw,A16
LA_E_1013500,1,g722,A19
LA_E_1013742,1,pstn,A19
LA_E_1013754,1,gsm,A11
LA_E_1013975,1,opus,A13
LA_E_1014133,1,pstn,A14
LA_E_1014342,1,gsm,A16
LA_E_1014509,1,opus,A07
LA_E_1014837,1,gsm,A11
LA_E_1015064,1,opus,A15
LA_E_1015065,1,alaw,A17
LA_E_1015089,1,none,A10
LA_E_1015856,0,g722,bonafide
LA_E_1016011,1,pstn,A10
LA_E_1016035,0,opus,bonafide
LA_E_1016085,0,ulaw,bonafide
LA_E_1016267,1,none,A16
LA_E_1016273,1,alaw,A10
LA_E_1016427,1,gsm,A17
LA_E_1016611,1,alaw,A08
LA_E_1016720,1,gsm,A19
LA_E_1016933,1,opus,A08
LA_E_1017167,1,gsm,A13
LA_E_1017236,1,none,A19
LA_E_1017373,1,g722,A17
LA_E_1017441,1,opus,A14
LA_E_1017503,0,opus,bonafide
LA_E_1017599,1,ulaw,A13
LA_E_1017621,1,gsm,A10
LA_E_1017688,1,opus,A18
LA_E_1017890,0,pstn,bonafide
LA_E_1018027,1,none,A19
LA_E_1018206,1,g722,A15
LA_E_1018401,1,pstn,A19
LA_E_1018409,0,ulaw,bonafide
LA_E_1018583,1,opus,A08
LA_E_1018792,1,pstn,A07
LA_E_1018837,1,none,A11
LA_E_1019007,1,none,A12
LA_E_1019069,1,ulaw,A17
LA_E_1019554,1,ulaw,A18
LA_E_1019682,1,ulaw,A12
LA_E_1019687,1,none,A10
LA_E_1019703,1,alaw,A15
LA_E_1019856,0,none,bonafide
LA_E_1020073,1,none,A18
LA_E_1020123,1,ulaw,A10
LA_E_1020135,1,g722,A18
LA_E_1020265,1,opus,A19
LA_E_1020564,1,gsm,A13
LA_E_1020858,1,none,A18
LA_E_1020912,1,none,A17
LA_E_1020926,1,alaw,A07
LA_E_1020938,1,none,A17
LA_E_1021072,1,gsm,A16
LA_E_1021152,1,opus,A15
LA_E_1021339,1,pstn,A12
LA_E_1021406,1,gsm,A14
LA_E_1021552,1,none,A12
LA_E_1021854,1,pstn,A07
LA_E_1022068,1,opus,A09
LA_E_1022101,1,none,A17
LA_E_1022414,1,opus,A17
LA_E_1022541,1,g722,A08
LA_E_1022606,1,g722,A07
LA_E_1022616,1,opus,A10
LA_E_1022676,1,pstn,A15
LA_E_1022966,1,g722,A12
LA_E_1023357,1,gsm,A09
LA_E_1023566,1,gsm,A10
LA_E_1023606,1,pstn,A18
LA_E_1023753,1,alaw,A19
LA_E_1023951,1,gsm,A15
LA_E_1023975,1,gsm,A15
LA_E_1024089,1,gsm,A08
LA_E_1024446,1,gsm,A12
LA_E_1024513,1,alaw,A14
LA_E_1024696,1,pstn,A10
LA_E_1024873,1,pstn,A08
LA_E_1024893,1,opus,A13
LA_E_1025667,1,g722,A19
LA_E_1025702,1,alaw,A15
LA_E_1025914,1,gsm,A18
LA_E_1025942,1,none,A13
LA_E_1026271,1,ulaw,A10
LA_E_1026801,1,ulaw,A15
LA_E_1026957,1,g722,A07
LA_E_1027200,1,none,A09
LA_E_1027283,0,opus,bonafide
LA_E_1027307,1,g722,A12
LA_E_1027545,1,opus,A12
LA_E_1027623,1,pstn,A14
LA_E_1027709,1,gsm,A17
LA_E_1027747,0,alaw,bonafide
LA_E_1027791,1,g722,A16
LA_E_1027872,1,gsm,A14
LA_E_1027951,1,alaw,A18
LA_E_1028148,1,gsm,A11
LA_E_1028427,1,none,A18
LA_E_1028459,1,none,A14
LA_E_1028490,1,pstn,A18
LA_E_1028907,1,none,A12
LA_E_1029088,1,alaw,A13
LA_E_1029431,1,alaw,A17
LA_E_1029549,1,opus,A15
LA_E_1029740,1,ulaw,A16
LA_E_1029876,1,none,A11
LA_E_1029984,1,pstn,A12
LA_E_1030072,1,none,A17
LA_E_1030276,1,none,A19
LA_E_1030368,1,g722,A18
LA_E_1030436,1,alaw,A07
LA_E_1030855,1,alaw,A08
LA_E_1030879,1,pstn,A13
LA_E_1030981,1,g722,A10
LA_E_1031036,1,pstn,A11
LA_E_1031054,1,pstn,A09
LA_E_1031271,1,opus,A16
LA_E_1031310,0,gsm,bonafide
LA_E_1031364,1,pstn,A17
LA_E_1031558,1,ulaw,A13
LA_E_1032157,1,opus,A12
LA_E_1032202,1,opus,A10
LA_E_1032299,1,alaw,A15
LA_E_1032300,1,none,A09
LA_E_1032349,1,none,A15
LA_E_1032638,1,alaw,A11
LA_E_1032731,1,alaw,A09
LA_E_1032848,0,gsm,bonafide
LA_E_1032994,1,opus,A13
