arquivo,classe_binaria,codec,ataque
LA_E_1000048,1,opus,A08
LA_E_1000345,1,opus,A19
LA_E_1000624,1,ulaw,A13
LA_E_1000931,1,opus,A18
LA_E_1001135,1,ulaw,A13
LA_E_1001407,1,gsm,A12
LA_E_1001842,1,ulaw,A19
LA_E_1001928,1,gsm,A10
LA_E_1002161,1,ulaw,A18
LA_E_1002323,1,ulaw,A18
LA_E_1002743,1,ulaw,A15
LA_E_1002895,1,ulaw,A16
LA_E_1003658,1,g722,A10
LA_E_1003731,1,ulaw,A11
LA_E_1003757,1,pstn,A13
LA_E_1003840,1,alaw,A14
LA_E_1003961,1,opus,A09
LA_E_1004043,1,opus,A13
LA_E_1004588,1,opus,A13
LA_E_1005523,1,ulaw,A16
LA_E_1005777,1,ulaw,A19
LA_E_1005805,1,gsm,A18
LA_E_1005828,1,gsm,A16
LA_E_1005966,1,ulaw,A08
LA_E_1005993,1,g722,A07
LA_E_1006073,1,ulaw,A07
LA_E_1006344,1,ulaw,A17
LA_E_1006494,1,none,A14
LA_E_1006559,1,alaw,A17
LA_E_1006688,1,opus,A16
LA_E_1006777,1,opus,A18
LA_E_1006816,1,alaw,A10
LA_E_1007090,1,ulaw,A09
LA_E_1007588,1,alaw,A11
LA_E_1007650,1,alaw,A18
LA_E_1007726,1,ulaw,A15
LA_E_1007828,1,gsm,A14
LA_E_1008159,1,gsm,A08
LA_E_1008202,1,g722,A08
LA_E_1008285,1,opus,A07
LA_E_1008432,1,opus,A19
LA_E_1009424,1,opus,A14
LA_E_1009431,1,opus,A16
LA_E_1009470,1,opus,A10
LA_E_1009630,1,ulaw,A12
LA_E_1009785,1,opus,A10
LA_E_1009935,1,g722,A16
LA_E_1010513,1,opus,A17
LA_E_1010878,1,gsm,A13
LA_E_1010987,1,gsm,A08
LA_E_1011085,1,pstn,A09
LA_E_1011113,1,ulaw,A14
LA_E_1011126,1,gsm,A07
LA_E_1011196,1,none,A09
LA_E_1011202,1,opus,A09
LA_E_1012463,1,g722,A09
LA_E_1012668,1,pstn,A08
LA_E_1012803,1,g722,A14
LA_E_1012995,1,gsm,A09
LA_E_1013114,1,none,A15
LA_E_1013754,1,gsm,A11
LA_E_1014342,1,gsm,A16
LA_E_1014837,1,gsm,A11
LA_E_1015064,1,opus,A15
LA_E_1016267,1,none,A16
LA_E_1016427,1,gsm,A17
LA_E_1016611,1,alaw,A08
LA_E_1016720,1,gsm,A19
LA_E_1016933,1,opus,A08
LA_E_1017167,1,gsm,A13
LA_E_1017236,1,none,A19
LA_E_1017373,1,g722,A17
LA_E_1017621,1,gsm,A10
LA_E_1018206,1,g722,A15
